Files,AttributeAncestorOrSelf.txt,BaltimoreTest.txt,Base64Test.txt,C14nHelperTest.txt,Canonicalizer20010315ExclusiveTest.txt,Canonicalizer20010315Test.txt,ExclusiveC14NInterop.txt,IAIKTest.txt,ResourceResolverSpiTest.txt,RSASecurityTest.txt,TransformBase64DecodeTest.txt,XalanBug1425Test.txt,XMLSignatureInputTest.txt
AttributeAncestorOrSelf.txt,0,736,29,18,4801,1565,879198,785,12,2718,725,22,117
BaltimoreTest.txt,0,0,735,728,4195,1559,878528,237,736,2048,1095,746,685
Base64Test.txt,0,0,0,35,4774,1582,879171,784,29,2717,724,39,134
C14nHelperTest.txt,0,0,0,0,4793,1557,879190,777,18,2710,717,28,109
Canonicalizer20010315ExclusiveTest.txt,0,0,0,0,0,3998,874469,4092,4801,3341,4200,4811,4712
Canonicalizer20010315Test.txt,0,0,0,0,0,0,878199,1412,1565,2395,2116,1575,1530
ExclusiveC14NInterop.txt,0,0,0,0,0,0,0,878465,879198,876814,878585,879208,879109
IAIKTest.txt,0,0,0,0,0,0,0,0,785,1985,1180,795,734
ResourceResolverSpiTest.txt,0,0,0,0,0,0,0,0,0,2718,725,22,117
RSASecurityTest.txt,0,0,0,0,0,0,0,0,0,0,2201,2728,2641
TransformBase64DecodeTest.txt,0,0,0,0,0,0,0,0,0,0,0,735,672
XalanBug1425Test.txt,0,0,0,0,0,0,0,0,0,0,0,0,127
XMLSignatureInputTest.txt,0,0,0,0,0,0,0,0,0,0,0,0,0
